policy_id,premium_pp,pv_premiums,pv_claims,pv_expenses,pv_commissions,pv_net_cf
172,101.4200000000,184237.1587616601,158007.5566790263,9353.6658533489,0.0000000000,16875.9362292849
173,46.0900000000,213755.4214757179,197547.2271154096,24056.6045701010,0.0000000000,-7848.4102097927
174,70.0300000000,337359.8715532378,330871.5715276873,25131.8745946092,0.0000000000,-18643.5745690586
175,47.9100000000,51231.4007987577,52810.2919917386,5484.7600411275,0.0000000000,-7063.6512341085
176,99.9400000000,894005.7538814659,595464.2841931654,71022.8855168683,86324.9646241766,141193.6195472557
177,158.5000000000,929339.7941139234,1080429.4307282837,30178.8135068870,0.0000000000,-181268.4501212472
178,47.8600000000,138004.6710348284,91872.4975959965,25475.4894650599,18258.8346341467,2397.8493396253
179,114.8400000000,772091.0522113608,601083.7453726740,35566.0914826749,0.0000000000,135441.2153560120
180,54.7300000000,322453.7275172196,214584.8631020128,52309.8746398820,42727.9471940652,12831.0425812596
181,24.7800000000,228800.1143327788,161542.0568610261,49176.1292183163,0.0000000000,18081.9282534364
182,8.4900000000,6976.4385740985,5079.3015902873,4271.1524955351,0.0000000000,-2374.0155117238
183,42.6700000000,335651.5538383349,223341.8838465856,63119.8713691870,32530.4601852001,16659.3384373621
184,31.7400000000,158596.8810393315,134046.7938562823,26486.3063682609,0.0000000000,-1936.2191852116
185,254.2500000000,2375549.9496148196,2100338.2241655421,48848.5603101428,0.0000000000,226363.1651391347
186,196.6800000000,2043066.6983988322,1358448.0572409749,83781.9828898260,200081.3261860431,400755.3320819882
187,200.1300000000,363291.9829571601,242115.3821447932,15830.8159424618,47959.6246131566,57386.1602567485
188,158.1600000000,77106.7345326487,97806.2238833339,2513.6943141579,0.0000000000,-23213.1836648432
189,177.8700000000,1483648.0031769839,1214780.4538077109,44771.0156727965,0.0000000000,224096.5336964765
190,73.1800000000,23812.6878219949,17801.1293984924,1690.1203921353,0.0000000000,4321.4380313672
191,113.8600000000,608796.3572917578,405586.8688309938,46814.3860879423,80232.7668080538,76162.3355647680
192,7.5400000000,83176.3099414494,72338.7983918094,58492.2900055982,0.0000000000,-47654.7784559583
193,20.4800000000,137710.8264383948,117561.7516357379,35106.6909705938,0.0000000000,-14957.6161679369
194,39.9600000000,79635.6513073856,72674.9639413554,10451.7877360958,0.0000000000,-3491.1003700656
195,110.8700000000,1504382.6237431029,1170745.9134827959,73222.8554596110,0.0000000000,260413.8548006959
196,45.0700000000,260861.6411862334,232471.1923841810,29720.4099609945,0.0000000000,-1329.9611589421
197,36.8200000000,51279.8751898471,45133.2101855119,7312.4687432270,0.0000000000,-1165.8037388917
198,30.8500000000,125985.1097658182,111768.1589637868,20822.3042050649,0.0000000000,-6605.3534030336
199,55.4900000000,520739.8804870669,347047.9652499699,74045.8919881201,50039.1856616655,49606.8375873115
200,64.3800000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
201,11.7700000000,55988.2898500097,48324.0743240260,25267.8292295540,0.0000000000,-17603.6137035703
202,37.1800000000,21693.6955537796,19394.2523204772,2935.4962537515,0.0000000000,-636.0530204490
203,30.1300000000,42607.1421399969,37639.5370103213,7140.6709294682,0.0000000000,-2173.0657997927
204,40.1400000000,20862.2113576452,19150.0078333182,2604.0653031153,0.0000000000,-891.8617787882
205,117.0200000000,247807.4057056794,319410.7921154702,10714.9002860755,0.0000000000,-82318.2866958662
206,21.2100000000,18050.0880250131,12016.7108268833,6488.8288543182,1439.7046754722,-1895.1563316606
207,69.6400000000,747909.9250147082,498429.6844280880,80987.6481091482,58823.2912295266,109669.3012479453
208,4.3900000000,57.0700000000,56.6964206640,65.0000000000,0.0000000000,-64.6264206640
209,100.1900000000,216998.7461868812,206051.6153811344,11104.7283593556,0.0000000000,-157.5975536088
210,49.2200000000,216111.1790112667,193476.5621648245,22810.6327706936,0.0000000000,-176.0159242513
211,77.1400000000,76610.3651482005,71866.8050673581,5071.6042940812,0.0000000000,-328.0442132388
212,101.6700000000,77376.9780832189,90909.6678179497,3846.1530362263,0.0000000000,-17378.8427709571
213,22.0300000000,52631.4377993772,57629.8193191726,12103.1067535636,0.0000000000,-17101.4882733589
214,7.6200000000,13693.7948672724,12912.3501267482,9078.2140580960,0.0000000000,-8296.7693175717
215,38.5700000000,234287.9163538150,156119.2286659254,52949.2182328812,30782.1122421868,-5562.6427871784
216,75.1100000000,171059.0553585535,160910.1405400518,11908.3946463111,0.0000000000,-1759.4798278094
