policy_id,scr_life,life_mort,life_longev,life_lapse,life_exps,lapse_up,lapse_down,lapse_mass,nav_base
139,14534.409562191035,2371.570592916978,0,12901.46451291666,2379.197361714818,8729.706413288965,0,12901.46451291666,19373.592665113218
140,12553.108787297657,1295.7479947388929,0,11042.839205642318,2408.45908803778,7204.354573812045,0,11042.839205642318,15933.357755635356
141,14886.278190006868,2546.292565490672,0,13230.441550965188,2374.295834452583,8967.219631939224,0,13230.441550965188,19924.734673184023
142,12725.420792144865,1389.673206337393,0,11206.339847571391,2406.0013999129296,7345.500950323723,0,11206.339847571391,16302.666260531114
143,15260.912319997138,2738.7349850574974,0,13578.380870052526,2368.9477588755544,9217.597372712306,0,13578.380870052526,20519.802828927786
144,12917.278197785561,1490.4943644284212,0,11388.499592093343,2403.2820025210676,7495.5884862754465,0,11388.499592093343,16688.224583326868
145,15656.85347206123,2948.9185317214287,0,13943.510239763636,2363.1504851382633,9480.884567647212,0,13943.510239763636,21158.702346863254
146,13169.219343169176,1599.125615744153,0,11630.719648692233,2400.279615448526,7663.513495635983,0,11630.719648692233,17074.049593259
147,16075.081684415463,3175.706416202651,0,14326.84541510354,2356.9150071604527,9757.03556779711,0,14326.84541510354,21838.684322734305
148,13434.260697458463,1716.6062202120083,0,11884.563899255314,2396.971675344452,7839.58558462371,0,11884.563899255314,17484.014089546865
149,16519.712578925977,3419.0560312393354,0,14732.440519014286,2350.2379052962933,10046.309830854298,0,14732.440519014286,22559.481751109386
150,13714.58105501952,1842.926415984286,0,12152.178683019476,2393.3491015615,8024.0033987999195,0,12152.178683019476,17918.142570730444
151,16993.964333714473,3681.3634880274185,0,15162.836437446109,2343.0869410329906,10349.353742397521,0,15162.836437446109,23326.346226154885
152,14009.91316329796,1979.2821703077934,0,12432.98390153583,2389.387239144329,8217.150958184095,0,12432.98390153583,18379.21202156885
153,17499.65809026481,3965.380640656629,0,15618.967747363422,2335.4283195328608,10666.723772124838,0,15618.967747363422,24145.28276955476
154,14320.765465096421,2125.8456323109567,0,12727.359128450582,2385.0746769833786,8419.229988074512,0,12727.359128450582,18867.6315383997
155,18037.74122287786,4273.06709492713,0,16100.989290693076,2327.240490095748,10998.694432296892,0,16100.989290693076,25020.431196599093
156,14645.806793824786,2282.8322013476864,0,13033.779642455425,2380.399044544727,8630.480533098133,0,13033.779642455425,19383.89198140666
157,18608.155226400773,4605.493447372573,0,16608.193066269407,2318.5143518430996,11345.303523446375,0,16608.193066269407,25953.871275621117
158,14986.213331210349,2449.3137185354426,0,13353.526023710801,2375.36141903064,8851.049932583759,0,13353.526023710801,19925.858539813576
159,19211.530650326556,4962.731440881675,0,17140.854058547135,2309.253388124227,11706.411038481485,0,17140.854058547135,26945.379880493536
160,15346.311708957319,2625.4633911555575,0,13690.933775062978,2369.94784397466,9081.381641197222,0,13690.933775062978,20493.917746531544
161,19850.448567424348,5344.939264562709,0,17701.29250768511,2299.460350843321,12081.930250281323,0,17701.29250768511,27994.884596444725
162,15727.568276625423,2813.894189048413,0,14046.877018590632,2364.1146178259514,9322.28733678114,0,14046.877018590632,21094.004955513956
163,20523.548513271453,5753.594591479952,0,18287.28768932396,2289.123932277871,12471.989593480888,0,18287.28768932396,29105.242683973833
164,16132.434877148806,3016.381322327972,0,14423.370618792731,2357.830161527032,9574.329915367503,0,14423.370618792731,21730.11201573658
165,21232.41672410977,6188.0257315294875,0,18900.383419663194,2278.257822036074,12876.37727785288,0,18900.383419663194,30274.438328630233
166,16558.063145352287,3234.9598702946096,0,14816.84501699514,2351.061247126374,9838.020478000224,0,14816.84501699514,22406.807656338526
167,21980.117678882787,6648.788167110848,0,19543.349451077112,2266.8619689088955,13295.181826814078,0,19543.349451077112,31503.179670179554
168,17003.460425705154,3468.3648542874143,0,15226.367126742873,2343.814842981781,10113.353807185456,0,15226.367126742873,23121.115098868613
169,22767.8033209032,7137.848055449256,0,20216.456878808123,2254.9224436556688,13728.7277233637,0,20216.456878808123,32795.268558048556
170,17469.360102654533,3715.2138932882517,0,15652.865876236232,2336.0972596790525,10400.512873950996,0,15652.865876236232,23869.776870737667
171,23592.001299042426,7656.339976502728,0,20915.277924236812,2242.4365211717086,14177.160321909992,0,20915.277924236812,34152.54061021659
172,17952.11554320131,3975.1971613697824,0,16092.49759410815,2327.900303177419,10700.06581483176,0,16092.49759410815,24651.950814512064
173,24455.897126078904,8201.996304738044,0,21643.740187647752,2229.4373311027302,14640.179285075283,0,21643.740187647752,35569.11361183209
174,18460.203150771402,4245.600525474118,0,16554.68209333562,2319.241671701806,11012.479800036934,0,16554.68209333562,25461.300218310265
175,25363.407416247755,8776.077723100054,0,22405.368525425554,2215.9202580348356,15118.32404005024,0,22405.368525425554,37046.91805570811
176,18997.237428353266,4530.666095867899,0,17042.02504753234,2310.0576625468675,11339.564405311423,0,17042.02504753234,26307.161430312146
177,26318.65923742072,9381.428319151368,0,23203.307483904064,2201.8671398160513,15612.449991735135,0,23203.307483904064,38591.277687990514
178,19566.229500305883,4834.050932092301,0,17556.559573236387,2300.295387033053,11682.931737989944,0,17556.559573236387,27197.43348326729
179,27328.386186400712,10021.489754956332,0,24043.247573919332,2187.258172420552,16123.482156737125,0,24043.247573919332,40208.69238154113
